question,Graph1,Graph2
How can taking it easy help with sexual performance anxiety?,"[['avoiding sexual performance anxiety', 'requires', 'not being hard on oneself'], ['not being hard on oneself', 'applies to', 'appearance'], ['not being hard on oneself', 'applies to', 'ability in bed'], ['avoiding sexual performance anxiety', 'requires', 'seeking professional help']]","[['taking it easy on oneself', 'is an effective way to combat', 'sexual performance anxiety'], ['taking it easy on oneself', 'reduces', 'pressure to perform'], ['reducing pressure to perform', 'helps reduce', 'worries'], ['reducing pressure to perform', 'helps reduce', 'stress'], ['worries', 'interfere with', 'arousal'], ['stress', 'interfere with', 'arousal'], ['worries', 'interfere with', 'enjoyment of sex'], ['stress', 'interfere with', 'enjoyment of sex'], ['taking it easy on oneself', 'includes', 'being gentle with body image'], ['taking it easy on oneself', 'includes', 'taking time to relax and unwind'], ['taking it easy on oneself', 'includes', 'focusing on other forms of intimacy'], ['other forms of intimacy', 'do not require', 'sexual intercourse'], ['taking it easy on oneself', 'helps approach sex in a', 'positive way'], ['taking it easy on oneself', 'helps approach sex in an', 'enjoyable way'], ['taking it easy on oneself', 'reduces', 'anxiety'], ['taking it easy on oneself', 'improves', 'overall sexual relationship']]"
What are symptoms of mal de debarquement syndrome?,"[['Mal de debarquement syndrome', 'causes symptom', 'feelings of rocking'], ['Mal de debarquement syndrome', 'causes symptom', 'feelings of swaying'], ['Mal de debarquement syndrome', 'causes symptom', 'feelings of bobbing'], ['Mal de debarquement syndrome', 'causes symptom', 'unsteadiness'], ['Mal de debarquement syndrome', 'causes symptom', 'staggering'], ['Mal de debarquement syndrome', 'causes symptom', 'anxiety'], ['Mal de debarquement syndrome', 'causes symptom', 'confusion'], ['Mal de debarquement syndrome', 'causes symptom', 'depression'], ['Mal de debarquement syndrome', 'causes symptom', 'fatigue'], ['Mal de debarquement syndrome', 'causes symptom', 'difficulty concentrating'], ['Symptoms of Mal de debarquement syndrome', 'alleviated by', 'riding in a car or train'], ['Symptoms of Mal de debarquement syndrome', 'return when', 'person stops moving']]","[['Mal de debarquement syndrome', 'also known as', 'sickness of disembarkment'], ['Mal de debarquement syndrome', 'is a type of', 'rare condition'], ['Mal de debarquement syndrome', 'characterized by', 'persistent feelings of rocking'], ['Mal de debarquement syndrome', 'characterized by', 'persistent feelings of swaying'], ['Mal de debarquement syndrome', 'characterized by', 'persistent feelings of bobbing'], ['Persistent feelings', 'occur', 'even when not in motion'], ['Mal de debarquement syndrome', 'causes symptom', 'anxiety'], ['Mal de debarquement syndrome', 'causes symptom', 'confusion'], ['Mal de debarquement syndrome', 'causes symptom', 'depression'], ['Mal de debarquement syndrome', 'causes symptom', 'fatigue'], ['Mal de debarquement syndrome', 'causes symptom', 'difficulty focusing'], ['Mal de debarquement syndrome', 'causes symptom', 'unsteadiness'], ['Symptoms of Mal de debarquement syndrome', 'alleviated by', 'being in a moving vehicle'], ['Symptoms of Mal de debarquement syndrome', 'return when', 'person is still'], ['Mal de debarquement syndrome', 'has trigger', 'closed-in space'], ['Mal de debarquement syndrome', 'has trigger', 'fast movement'], ['Mal de debarquement syndrome', 'has trigger', 'flickering lights'], ['Mal de debarquement syndrome', 'has trigger', 'stress'], ['Mal de debarquement syndrome', 'has trigger', 'tiredness'], ['Mal de debarquement syndrome', 'has trigger', 'intense visual activity'], ['Mal de debarquement syndrome', 'can occur after', 'cruise ship trip'], ['Mal de debarquement syndrome', 'can occur after', 'car ride'], ['Mal de debarquement syndrome', 'can occur after', 'train ride'], ['Mal de debarquement syndrome', 'can occur after', 'plane ride'], ['Diagnosis of Mal de debarquement syndrome', 'may require', 'multiple doctor visits'], ['Treatment for Mal de debarquement syndrome', 'includes', 'brain stimulation therapy'], ['Treatment for Mal de debarquement syndrome', 'includes', 'medication'], ['Treatment for Mal de debarquement syndrome', 'includes', 'vestibular rehabilitation'], ['Treatment for Mal de debarquement syndrome', 'includes', 'self-care'], ['Self-care', 'involves', 'exercise'], ['Self-care', 'involves', 'stress management'], ['Self-care', 'involves', 'rest']]"
How common is Epstein-Barr virus?,"[['Epstein-Barr virus (EBV)', 'is_a', 'virus'], ['Epstein-Barr virus (EBV)', 'is_not', 'well-known'], ['Epstein-Barr virus (EBV)', 'is', 'very common'], ['Most people', 'are_infected_with', 'Epstein-Barr virus (EBV)'], ['Infection with EBV', 'occurs', 'without knowledge']]","[['Epstein-Barr virus (EBV)', 'is', 'common'], ['Most people', 'carry', 'Epstein-Barr virus (EBV)'], ['Carrying EBV', 'occurs', 'without showing symptoms'], ['95% of US adults', 'infected_by_age', '40'], ['Epstein-Barr virus (EBV)', 'causes', 'mononucleosis'], ['Mononucleosis', 'also_known_as', 'kissing disease'], ['Mononucleosis', 'has_symptom_severity', 'mild to severe'], ['After infection', 'Epstein-Barr virus (EBV) stays_in', 'body'], ['Epstein-Barr virus (EBV)', 'can_become', 'active again'], ['Reactivation of EBV', 'makes_person', 'contagious'], ['Prevention of EBV', 'involves', 'avoiding close contact'], ['Avoiding close contact', 'is_with', 'people who have mono'], ['No vaccine', 'available_for', 'Epstein-Barr virus (EBV)'], ['Practicing good hygiene', 'reduces_risk_of', 'EBV infection'], ['Good hygiene', 'includes', 'not sharing personal items'], ['Good hygiene', 'includes', 'not kissing infected person']]"
What causes autonomic neuropathy?,"[['Autonomic neuropathy', 'caused by', 'nerve damage'], ['nerve damage', 'affects', 'nerves'], ['nerves', 'control', 'body functions'], ['body functions', 'includes', 'body temperature'], ['body functions', 'includes', 'blood pressure'], ['body functions', 'includes', 'heart rate'], ['body functions', 'includes', 'digestion'], ['body functions', 'includes', 'urination'], ['body functions', 'includes', 'bowel movements'], ['diabetes', 'is most common cause of', 'Autonomic neuropathy'], ['Autonomic neuropathy', 'can be caused by', 'abnormal protein buildup'], ['Autonomic neuropathy', 'can be caused by', 'autoimmune diseases'], ['Autonomic neuropathy', 'can be caused by', 'Lyme disease'], ['Autonomic neuropathy', 'can be caused by', 'HIV'], ['Autonomic neuropathy', 'can be caused by', ""Parkinson's disease""], ['Autonomic neuropathy', 'can be caused by', 'inherited diseases'], ['Autonomic neuropathy', 'can be caused by', 'spinal cord injury'], ['Autonomic neuropathy', 'can be caused by', 'surgery'], ['Autonomic neuropathy', 'can be caused by', 'certain medicines'], ['symptoms of Autonomic neuropathy', 'depend on', 'damaged nerves location'], ['symptoms of Autonomic neuropathy', 'depend on', 'organs involved']]","[['Autonomic neuropathy', 'caused by', 'nerve damage'], ['nerve damage', 'affects', 'autonomic nervous system nerves'], ['Autonomic neuropathy', 'can result from', 'diabetes'], ['Autonomic neuropathy', 'can result from', 'HIV'], ['Autonomic neuropathy', 'can result from', 'Lyme disease'], ['Autonomic neuropathy', 'can result from', 'autoimmune diseases'], ['autoimmune diseases', 'include', 'rheumatoid arthritis'], ['autoimmune diseases', 'include', 'Guillain-Barré syndrome'], ['autoimmune diseases', 'include', 'lupus'], ['autoimmune diseases', 'include', ""Sjogren's syndrome""], ['Autonomic neuropathy', 'can result from', ""Parkinson's disease""], ['Autonomic neuropathy', 'can result from', 'inherited diseases'], ['inherited diseases', 'include', 'Riley-Day syndrome'], ['Autonomic neuropathy', 'can result from', 'spinal cord injury'], ['Autonomic neuropathy', 'can result from', 'surgery'], ['Autonomic neuropathy', 'can result from', 'medicines'], ['medicines', 'include', 'chemotherapy drugs'], ['chemotherapy drugs', 'used to treat', 'cancer'], ['Autonomic neuropathy', 'can result from', 'chemicals'], ['chemicals', 'include', 'acrylamide'], ['chemicals', 'include', 'heavy metals'], ['symptoms of Autonomic neuropathy', 'depend on', 'nerve damage location'], ['symptoms of Autonomic neuropathy', 'depend on', 'extent of nerve damage'], ['doctor', 'diagnoses', 'Autonomic neuropathy'], ['diagnosis of Autonomic neuropathy', 'involves', 'symptoms'], ['diagnosis of Autonomic neuropathy', 'involves', 'physical exam'], ['diagnosis of Autonomic neuropathy', 'involves', 'tests'], ['tests for Autonomic neuropathy', 'include', 'tilt-table test'], ['tests for Autonomic neuropathy', 'include', 'quantitative sudomotor axon reflex test'], ['tests for Autonomic neuropathy', 'include', 'urodynamic tests'], ['tests for Autonomic neuropathy', 'include', 'ultrasound'], ['tests for Autonomic neuropathy', 'include', 'X-rays'], ['treatment for Autonomic neuropathy', 'depends on', 'cause and symptoms']]"
What causes high total bilirubin?,"[['High total bilirubin', 'caused by', 'anemia'], ['High total bilirubin', 'caused by', 'cirrhosis'], ['High total bilirubin', 'caused by', 'reaction to blood transfusion'], ['High total bilirubin', 'caused by', 'Gilbert syndrome'], ['High total bilirubin', 'caused by', 'viral hepatitis'], ['High total bilirubin', 'caused by', 'reaction to drugs'], ['High total bilirubin', 'caused by', 'alcoholic liver disease'], ['High total bilirubin', 'caused by', 'gallstones'], ['High total bilirubin', 'caused by', 'strenuous exercise']]","[['High total bilirubin', 'caused by', 'anemia'], ['High total bilirubin', 'caused by', 'cirrhosis'], ['High total bilirubin', 'caused by', 'reaction to drugs'], ['High total bilirubin', 'caused by', 'viral hepatitis'], ['High total bilirubin', 'caused by', 'alcoholic liver disease'], ['High total bilirubin', 'caused by', 'gallstones'], ['High total bilirubin', 'caused by', 'strenuous exercise'], ['High total bilirubin', 'caused by', 'Gilbert syndrome'], ['Gilbert syndrome', 'is a type of', 'inherited condition'], ['Bilirubin', 'is a', 'pigment'], ['Bilirubin', 'occurs when', 'red blood cells break down'], ['Bilirubin levels', 'maintained by', 'liver'], ['liver', 'converts', 'Bilirubin'], ['converted Bilirubin', 'excreted through', 'bile'], ['liver dysfunction', 'causes', 'Bilirubin levels build up in blood'], ['Bilirubin levels build up in blood', 'leads to', 'jaundice'], ['Bilirubin levels build up in blood', 'leads to', 'other symptoms'], ['medications', 'affect', ""liver's ability to process Bilirubin""], ['heavy drinking', 'affects', ""liver's ability to process Bilirubin""], ['high bilirubin levels in newborns', 'may be a sign of', 'underlying conditions'], ['high bilirubin levels in newborns', 'characteristic', 'not level out in 2 weeks']]"
Does not exercising make constipation worse?,"[['Lack of exercise', 'leads to', 'Constipation'], ['Lack of exercise', 'causes', 'Hard, dry stools'], ['Hard, dry stools', 'cause', 'Constipation'], ['Regular exercise', 'avoids', 'Constipation']]","[['Lack of exercise', 'worsens', 'Constipation'], ['Lack of exercise', 'slows', 'Food passage through colon'], ['Slowing food passage through colon', 'contributes to', 'Root cause of constipation'], ['Regular exercise', 'benefits', 'Healthy digestive system'], ['Regular exercise', 'promotes', 'Regular bowel movements']]"
What health conditions are linked to panic attacks?,"[['Allergic reactions', 'linked to', 'Panic attack'], ['Heart and lung diseases', 'linked to', 'Panic attack'], ['Low blood sugar', 'linked to', 'Panic attack'], ['Asthma', 'linked to', 'Panic attack'], ['Overactive thyroid', 'linked to', 'Panic attack']]","[['Panic attack', 'can be mistaken for', 'Health conditions'], ['Mistaken identity of Panic attack', 'due to', 'similarity of symptoms'], ['Panic attack', 'rarely lasts over', 'one hour'], ['Prolonged panic attack', 'caused by', 'Waves of panic attacks'], ['Prolonged panic attack', 'caused by', 'Aftereffects of a single panic attack'], ['Prolonged panic attack', 'caused by', 'Another health condition'], ['Another health condition', 'includes', 'Generalized anxiety disorder'], ['Another health condition', 'includes', 'Allergic reactions'], ['Another health condition', 'includes', 'Heart and lung diseases'], ['Another health condition', 'includes', 'Conditions that trigger panic attacks'], ['Conditions that trigger panic attacks', 'affect', 'individuals prone to panic attacks'], ['Healthcare professional', 'provides', 'accurate diagnosis'], ['Healthcare professional', 'provides', 'treatment'], ['Consultation with healthcare professional', 'for', 'Prolonged panic attack']]"
What causes high-output heart failure?,"[['High-output heart failure', 'is caused by', 'obesity'], ['High-output heart failure', 'is caused by', 'liver disease'], ['High-output heart failure', 'is caused by', 'anemia'], ['High-output heart failure', 'is caused by', 'hyperthyroidism'], ['High-output heart failure', 'is caused by', 'pregnancy'], ['High-output heart failure', 'is caused by', 'lung disease'], ['High-output heart failure', 'is caused by', 'septic shock'], ['High-output heart failure', 'is caused by', ""Paget's disease""], ['High-output heart failure', 'is caused by', 'arteriovenous fistula'], ['High-output heart failure', 'is caused by', 'beriberi heart disease']]","[['High-output heart failure', 'is a type of', 'rare condition'], ['High-output heart failure', 'characterized by', 'heart pumping normal or increased blood'], ['High-output heart failure', 'results in', 'body not receiving enough blood'], ['High-output heart failure', 'is caused by', 'obesity'], ['High-output heart failure', 'is caused by', 'liver disease'], ['High-output heart failure', 'is caused by', 'anemia'], ['High-output heart failure', 'is caused by', 'hyperthyroidism'], ['High-output heart failure', 'is caused by', 'pregnancy'], ['High-output heart failure', 'is caused by', 'lung disease'], ['High-output heart failure', 'is caused by', 'septic shock'], ['High-output heart failure', 'is caused by', ""Paget's disease""], ['High-output heart failure', 'is caused by', 'arteriovenous fistula'], ['High-output heart failure', 'is caused by', 'beriberi heart disease'], ['Treatment for High-output heart failure', 'focuses on', 'addressing underlying cause'], ['Treatment for High-output heart failure', 'may involve', 'low-salt, low-water diet'], ['Treatment for High-output heart failure', 'may involve', 'diuretics'], ['Treatment for High-output heart failure', 'may involve', 'vasoconstrictor adrenergics'], ['Traditional heart failure drugs', 'are', 'not helpful for High-output heart failure']]"
What are the side effects of breast cancer treatments?,"[['Breast cancer treatments', 'may cause', 'Side effects'], ['Side effects', 'may occur', 'during treatment'], ['Side effects', 'may occur', 'after treatment'], ['Some side effects', 'may resolve', 'on their own'], ['Other side effects', 'may require', 'treatment'], ['Breast cancer treatments', 'may cause', 'Late effects'], ['Late effects', 'include', 'Symptoms of menopause'], ['Late effects', 'include', 'Trouble getting pregnant'], ['Late effects', 'include', 'Depression'], ['Late effects', 'include', 'Trouble sleeping'], ['Late effects', 'include', 'Changes in breast appearance'], ['Late effects', 'include', 'Trouble thinking clearly']]","[['Breast cancer treatments', 'can cause', 'Side effects'], ['Side effects', 'include', 'Symptoms of menopause'], ['Symptoms of menopause', 'manifest as', 'Hot flashes'], ['Side effects', 'include', 'Trouble getting pregnant'], ['Side effects', 'include', 'Depression'], ['Side effects', 'include', 'Trouble sleeping'], ['Side effects', 'include', 'Changes in breast appearance'], ['Side effects', 'include', 'Trouble thinking clearly'], ['Trouble thinking clearly', 'also known as', 'Chemo brain'], ['Side effects', 'are categorized as', 'Late effects'], ['Patient', 'should discuss', 'Risks of treatment'], ['Patient', 'should discuss', 'Side effects of treatment'], ['Patient', 'discusses with', 'Doctor'], ['Discussion with Doctor', 'enables', 'informed decision'], ['Informed decision', 'concerns', 'treatment options']]"
How hard is it to stick to the hCG diet for weight loss?,"[['hCG diet', 'requires', '500 calories a day'], ['hCG diet', 'difficulty to adhere', 'high'], ['500 calories a day', 'is not enough for', 'nutritional needs'], ['500 calories a day', 'can be dangerous without', 'essential nutrients'], ['hCG diet', 'does not provide enough', 'protein'], ['protein', 'necessary for', 'maintaining muscle mass'], ['people considering hCG diet', 'should talk to', 'healthcare provider'], ['healthcare provider', 'ensures safety of', 'hCG diet']]","[['hCG diet', 'difficulty to adhere', 'very high'], ['hCG diet', 'has', 'strict calorie limit'], ['strict calorie limit', 'can cause', 'discomfort for individuals'], ['strict calorie limit', 'can be', 'dangerous for individuals'], ['hCG diet', 'requires consuming', '500 calories per day'], ['hCG diet', 'includes', 'specific food restrictions'], ['meeting nutritional needs', 'is challenging on', 'limited caloric intake'], ['meeting nutritional needs', 'may require', 'supplements'], ['hCG diet', 'should be attempted under', 'close supervision'], ['close supervision', 'provided by', 'healthcare provider']]"
Are cognitive problems caused by multiple sclerosis serious?,"[['Multiple Sclerosis (MS)', 'causes', 'Cognitive problems (MS)'], ['Cognitive problems (MS)', 'severity', 'often mild'], ['Cognitive problems (MS)', 'impact on daily life', 'not significant interference'], ['Severe cognitive problems (MS)', 'prevalence', 'rare']]","[['Cognitive problems (MS)', 'can be', 'concerning'], ['Cognitive problems (MS)', 'severity', 'not always severe'], ['People with MS', 'experience', 'Cognitive problems (MS)'], ['Cognitive problems (MS)', 'prevalence among people with MS', 'about half'], ['Cognitive problems (MS)', 'symptom includes', 'poor focus'], ['Cognitive problems (MS)', 'symptom includes', 'slowed thinking'], ['Cognitive problems (MS)', 'symptom includes', 'fuzzy memory'], ['Cognitive problems (MS)', 'impacts daily life for', '5-10% of individuals'], ['fuzzy thinking', 'clue includes', 'struggling to find words'], ['fuzzy thinking', 'clue includes', 'forgetting tasks'], ['fuzzy thinking', 'clue includes', 'trouble concentrating'], ['Multiple Sclerosis (MS)', 'does not impair', 'intelligence'], ['Multiple Sclerosis (MS)', 'does not impair', 'long-term memory'], ['Cognitive problems (MS)', 'should be discussed with', 'Doctor'], ['Doctor', 'rules out', 'normal aging'], ['Doctor', 'rules out', 'drug-related causes'], ['Doctor', 'provides', 'cognitive testing'], ['Doctor', 'provides', 'treatment options'], ['treatment options', 'includes', 'memory exercises'], ['treatment options', 'includes', 'organizational tools'], ['treatment options', 'includes', 'cognitive rehabilitation'], ['Severe cognitive problems (MS)', 'may require', 'constant care'], ['Severe cognitive problems (MS)', 'may require', 'assisted living arrangements'], ['Research', 'explores', 'medications for MS cognitive symptoms'], ['Research', 'explores', 'treatments for MS cognitive symptoms'], ['medications for MS cognitive symptoms', 'may improve', 'memory'], ['medications for MS cognitive symptoms', 'may improve', 'focus'], ['treatments for MS cognitive symptoms', 'may improve', 'memory'], ['treatments for MS cognitive symptoms', 'may improve', 'focus']]"
How is blood work used to diagnose EPI?,"[['Blood tests', 'used to diagnose', 'EPI'], ['Blood tests', 'checks for', 'anemia'], ['Blood tests', 'checks for', 'deficient vitamin B12 levels'], ['Blood tests', 'checks for', 'deficient iron levels'], ['Blood tests', 'checks for', 'deficient folate levels'], ['Blood tests', 'checks for', 'elevated trypsinogen levels']]","[['Blood work', 'used to diagnose', 'EPI'], ['Blood work', 'checks for', 'anemia'], ['Blood work', 'checks for', 'deficient vitamin B12 levels'], ['Blood work', 'checks for', 'deficient iron levels'], ['Blood work', 'checks for', 'deficient folate levels'], ['Blood work', 'checks for', 'elevated trypsinogen level'], ['trypsinogen', 'is a', 'pancreatic enzyme'], ['Blood work findings', 'help determine', 'EPI preventing nutrient absorption'], ['EPI', 'prevents', 'body from absorbing essential nutrients']]"
What is bipolar disorder stigma at work?,"[['Bipolar disorder stigma', 'occurs at', 'work'], ['Bipolar disorder stigma', 'leads to', 'unfair treatment'], ['unfair treatment', 'from', 'coworkers'], ['unfair treatment', 'caused by', 'ignorance about bipolar disorder'], ['unfair treatment', 'caused by', 'misunderstanding of bipolar disorder'], ['educating others', 'about', 'bipolar disorder'], ['educating others', 'mitigates', 'bipolar disorder stigma']]","[['Stigma of mental illness', 'affects', 'people with bipolar disorder at work'], ['Stigma of mental illness', 'causes', 'being held back at work'], ['people with bipolar disorder', 'experience', 'unfair treatment'], ['unfair treatment', 'includes', 'being passed over for promotions'], ['unfair treatment', 'includes', 'being passed over for raises'], ['Ignorance about bipolar disorder', 'fuels', 'unfair treatment'], ['Misconceptions about bipolar disorder', 'fuel', 'unfair treatment'], ['Misconceptions about bipolar disorder', 'include belief', ""condition is 'all in their head'""], ['Misconceptions about bipolar disorder', 'include belief', ""people with bipolar disorder are 'crazy'""], ['Americans with Disabilities Act (ADA)', 'protects against', 'discrimination'], ['protection against discrimination', 'requires', 'researching the law'], ['protection against discrimination', 'requires', 'seeking advice from trusted resources']]"
How can alcoholism cause tingling hands and feet?,"[['Alcoholism', 'causes', 'Tingling in hands and feet'], ['Tingling in hands and feet', 'due to', 'Vitamin deficiencies'], ['Alcoholism', 'leads to', 'Vitamin deficiencies']]","[['Alcoholism', 'causes', 'Tingling in hands and feet'], ['Alcoholism', 'leads to', 'Vitamin deficiencies'], ['Alcoholism', 'directly damages', 'Nerves'], ['Nerve damage', 'is known as', 'Alcoholic neuropathy'], ['Alcoholism', 'causes', 'Nerve damage'], ['Vitamin deficiencies', 'can cause', 'Tingling in hands and feet'], ['Nerve damage', 'can cause', 'Tingling in hands and feet']]"
How can pulmonary rehab help treat idiopathic pulmonary fibrosis (IPF)?,"[['Pulmonary rehab', 'treats', 'IPF'], ['Pulmonary rehab', 'helps improve', 'breathing'], ['Pulmonary rehab', 'helps improve', 'strength'], ['Pulmonary rehab', 'helps maintain', 'healthy weight'], ['Pulmonary rehab', 'helps maintain', 'energy levels'], ['Pulmonary rehab', 'helps conserve', 'energy']]","[['Pulmonary rehab', 'is a type of', 'treatment'], ['Pulmonary rehab', 'helps patients with', 'IPF'], ['Pulmonary rehab', 'improves', 'breathing'], ['Pulmonary rehab', 'builds up', 'strength'], ['Pulmonary rehab', 'includes', 'exercises to improve breathing'], ['Pulmonary rehab', 'includes', 'tips for healthy eating'], ['Pulmonary rehab', 'includes', 'strategies to save energy'], ['Pulmonary rehab', 'goal', 'stay active'], ['Pulmonary rehab', 'goal', 'manage symptoms effectively'], ['Pulmonary rehab', 'can be done in', 'hospital setting'], ['Pulmonary rehab', 'can be done in', 'outpatient setting'], ['Pulmonary rehab plan', 'depends on', ""patient's symptoms""], ['Pulmonary rehab plan', 'depends on', ""patient's overall health""], ['Pulmonary rehab plan', 'depends on', ""patient's age""], ['Pulmonary rehab', 'is essential for', 'managing IPF'], ['Pulmonary rehab', 'enables patients to live', 'better lives'], ['Pulmonary rehab', 'enables patients to live', 'more active lives']]"
What drugs contain acetaminophen?,"[['Acetaminophen', 'found in', 'OTC medications'], ['OTC medications', 'include', 'headache pills'], ['OTC medications', 'include', 'cold medicines'], ['taking too much acetaminophen', 'is', 'harmful'], ['awareness of acetaminophen amount', 'is', 'important']]","[['Acetaminophen', 'is a', 'drug ingredient'], ['drug ingredient', 'usage', 'widely used'], ['Acetaminophen', 'found in', 'prescription medications'], ['Acetaminophen', 'found in', 'OTC medications'], ['prescription medications', 'number', 'over 600'], ['OTC medications', 'number', 'over 600'], ['Acetaminophen', 'is an ingredient in', 'medications containing acetaminophen'], ['medications containing acetaminophen', 'include', 'allergy pills'], ['medications containing acetaminophen', 'include', 'cold medicines'], ['medications containing acetaminophen', 'include', 'cough syrups'], ['medications containing acetaminophen', 'include', 'headache pills'], ['medications containing acetaminophen', 'include', 'sleep aids'], ['checking medication labels', 'prevents', 'taking multiple acetaminophen products'], ['medication labels', 'contain', 'Active Ingredients section']]"
What are complications of shoulder replacement surgery?,"[['Shoulder Replacement Surgery', 'may result in', 'Complications'], ['Complications', 'include', 'Infection'], ['Complications', 'include', 'Bleeding'], ['Complications', 'include', 'Dislocation'], ['Complications', 'include', 'Nerve Damage'], ['Complications', 'include', 'Replacement Joint Loosening'], ['Complications', 'include', 'Replacement Joint Separation']]","[['Shoulder Replacement Surgery', 'has complication', 'Infection'], ['Infection', 'location', 'around the Replacement Joint'], ['Shoulder Replacement Surgery', 'has complication', 'Bleeding'], ['Bleeding', 'location', 'around the Replacement Joint'], ['Shoulder Replacement Surgery', 'has complication', 'Dislocation'], ['Nerves around the shoulder', 'may get damaged during', 'Shoulder Replacement Surgery'], ['Replacement Joint', 'may become loose', 'Over time'], ['Replacement Joint', 'may separate from', 'Bone'], ['Replacement Joint Loosening', 'requires', 'Additional Surgery'], ['Replacement Joint Separation', 'requires', 'Additional Surgery']]"
How can breathing deeply beat stress?,"[['Deep breathing', 'helps to lower', 'stress hormones'], ['Deep breathing', 'helps to reduce', 'heart rate'], ['Deep breathing', 'helps to lower', 'blood pressure'], ['Deep breathing technique', 'involves', 'sitting quietly'], ['Deep breathing technique', 'involves placing', 'one hand on stomach'], ['Deep breathing technique', 'involves placing', 'other hand on chest'], ['Deep breathing technique', 'action', 'inhale slowly and deeply'], ['Inhaling slowly and deeply', 'causes', 'stomach to expand'], ['Inhaling slowly and deeply', 'causes', 'chest to rise'], ['Deep breathing technique', 'action', 'exhale slowly and completely'], ['Exhaling slowly and completely', 'causes', 'stomach to contract'], ['Exhaling slowly and completely', 'causes', 'chest to fall'], ['Deep breathing technique', 'duration', 'several minutes']]","[['Deep breathing', 'is a', 'simple relaxation technique'], ['Deep breathing', 'is a', 'powerful relaxation technique'], ['Deep breathing', 'helps reduce', 'stress'], ['Deep breathing', 'lowers', 'stress hormones'], ['Deep breathing', 'lowers', 'heart rate'], ['Deep breathing', 'lowers', 'blood pressure'], ['Deep breathing technique', 'involves', 'sitting quietly'], ['Deep breathing technique', 'involves placing', 'one hand on stomach'], ['Deep breathing technique', 'involves placing', 'other hand on chest'], ['Deep breathing technique', 'action', 'breathe in slowly and deeply through nose'], ['Deep breathing technique', 'action', 'hold breath for a few seconds'], ['Deep breathing technique', 'action', 'breathe out slowly through mouth until air is out of lungs'], ['Deep breathing technique', 'repeats', 'four more times'], ['Deep breathing', 'is an', 'ancient practice'], ['Ancient practice of deep breathing', 'relaxes', 'mind'], ['Ancient practice of deep breathing', 'relaxes', 'body'], ['Ancient practice of deep breathing', 'helps calm', 'mind'], ['Ancient practice of deep breathing', 'helps lower', 'stress hormones'], ['Regular exercise', 'can boost', 'endorphins'], ['Aerobic workouts', 'are a type of', 'regular exercise'], ['Endorphins', 'are', 'brain chemicals'], ['Endorphins', 'improve', 'mood'], ['Endorphins', 'help handle', 'stress'], ['Foods rich in vitamin C', 'contribute to', 'stress reduction'], ['Foods rich in omega-3s', 'contribute to', 'stress reduction'], ['Positive self-talk', 'aids in', 'stress management'], [""Good night's sleep"", 'aids in', 'stress management']]"
How can I ease the stress of having IBS?,"[['Meditation', 'is_a', 'Stress Management Technique'], ['Relaxation Therapy', 'is_a', 'Stress Management Technique'], ['Biofeedback', 'is_a', 'Stress Management Technique'], ['Hypnotherapy', 'is_a', 'Stress Management Technique'], ['Cognitive Behavioral Therapy', 'is_a', 'Stress Management Technique'], ['Stress Management Techniques', 'help_ease', 'Stress of IBS'], ['Meditation', 'helps_ease', 'Stress of IBS'], ['Relaxation Therapy', 'helps_ease', 'Stress of IBS'], ['Biofeedback', 'helps_ease', 'Stress of IBS'], ['Hypnotherapy', 'helps_ease', 'Stress of IBS'], ['Cognitive Behavioral Therapy', 'helps_ease', 'Stress of IBS']]","[['Coping with IBS', 'involves', 'Coping Strategies'], ['Coping Strategies', 'ease', 'Stress of IBS'], ['IBS', 'has_no', 'Cure'], ['Treatments', 'available_for', 'IBS'], ['Treatments', 'include', 'Medications'], ['Treatments', 'include', 'Dietary Modifications'], ['Learning about IBS', 'helps_achieve', 'Control over IBS'], ['Talking with Doctor', 'helps_achieve', 'Control over IBS'], ['Tracking Symptoms in Journal', 'helps_achieve', 'Control over IBS'], ['Seeking Support', 'makes_a_difference_for', 'Coping with IBS'], ['Support', 'from', 'Family'], ['Support', 'from', 'Friends'], ['Support', 'from', 'Support Groups'], ['Relaxation Techniques', 'manage', 'Stress'], ['Relaxation Techniques', 'manage', 'Uncomfortable Situations'], ['Meditation', 'is_a', 'Relaxation Technique'], ['Deep Breathing', 'is_a', 'Relaxation Technique'], ['Seeing a Therapist', 'provides', 'Additional Support'], ['Seeing a Therapist', 'provides', 'Behavioral Therapy Treatments'], ['Proactive Steps', 'help_achieve', 'Full and Meaningful Life']]"
